,FL_DATE,ORIGIN_CITY_NAME,DEST_CITY_NAME,ARR_DELAY,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,WEATHER
323516,2016-01-23,"Manchester, NH","Atlanta, GA",394.0,0.0,394.0,0.0,0.0,0.0,"(u'Mostly Cloudy', u'Light Snow')"
324342,2016-01-23,"Daytona Beach, FL","Atlanta, GA",1093.0,0.0,1093.0,0.0,0.0,0.0,"(u'Mostly Cloudy', u'Light Snow')"
327891,2016-01-23,"Honolulu, HI","New York, NY",270.0,26.0,244.0,0.0,0.0,0.0,"(u'Partly Cloudy', u'Light Snow')"
331292,2016-01-24,"Charlotte Amalie, VI","New York, NY",1043.0,0.0,1043.0,0.0,0.0,0.0,"(u'Clear', u'Light Snow')"
333001,2016-01-24,"Detroit, MI","Philadelphia, PA",326.0,0.0,326.0,0.0,0.0,0.0,"(u'Clear', u'Light Snow')"
333038,2016-01-24,"West Palm Beach/Palm Beach, FL","Philadelphia, PA",501.0,0.0,495.0,6.0,0.0,0.0,"(u'Clear', u'Light Snow')"
333302,2016-01-24,"Fort Lauderdale, FL","Philadelphia, PA",277.0,0.0,274.0,3.0,0.0,0.0,"(u'Partly Cloudy', u'Light Snow')"
334332,2016-01-24,"Newark, NJ","Tampa, FL",556.0,0.0,556.0,0.0,0.0,0.0,"(u'Light Snow', u'Clear')"
334639,2016-01-24,"Tampa, FL","Boston, MA",408.0,0.0,408.0,0.0,0.0,0.0,"(u'Clear', u'Light Snow')"
335996,2016-01-24,"New York, NY","San Juan, PR",293.0,0.0,293.0,0.0,0.0,0.0,"(u'Light Snow', u'Partly Cloudy')"
340652,2016-01-24,"Brainerd, MN","Minneapolis, MN",661.0,0.0,652.0,9.0,0.0,0.0,"(u'Overcast', u'Overcast')"
341766,2016-01-24,"San Juan, PR","Newark, NJ",349.0,0.0,349.0,0.0,0.0,0.0,"(u'Partly Cloudy', u'Light Snow')"
345296,2016-01-25,"New York, NY","Miami, FL",223.0,0.0,223.0,0.0,0.0,0.0,"(u'Overcast', u'Clear')"
347752,2016-01-25,"Newark, NJ","Seattle, WA",228.0,0.0,228.0,0.0,0.0,0.0,"(u'Mostly Cloudy', u'Clear')"
354517,2016-01-25,"Detroit, MI","Dayton, OH",366.0,0.0,366.0,0.0,0.0,0.0,"(u'Overcast', u'Clear')"
367744,2016-01-26,"Juneau, AK","Seattle, WA",291.0,0.0,291.0,0.0,0.0,0.0,"(u'Light Rain', u'Overcast')"
369404,2016-01-26,"Las Vegas, NV","Los Angeles, CA",221.0,0.0,221.0,0.0,0.0,0.0,"(u'Clear', u'Clear')"
384171,2016-01-27,"Williston, ND","Denver, CO",348.0,0.0,348.0,0.0,0.0,0.0,"(u'Mostly Cloudy', u'Clear')"
