anonid,obsnum,behavior-ontask,behavior-ontaskconv,behavior-offtask,affect-frustrated,affect-concentrating,affect-confused,affect-bored
student21,15,0,1,0,0,0,1,0
student21,16,0,1,0,0,1,0,0
student21,17,1,0,0,0,1,0,0
student21,18,1,0,0,0,1,0,0
student21,19,0,1,0,0,1,0,0
student21,20,0,1,0,0,1,0,0
student21,21,0,1,0,0,0,1,0
student21,22,0,1,0,0,1,0,0
student21,23,0,1,0,0,1,0,0
student21,24,0,0,1,0,0,0,0
student21,25,0,1,0,0,1,0,0
student21,26,1,0,0,0,1,0,0
student21,27,1,0,0,0,1,0,0
student21,28,1,0,0,0,1,0,0
student21,29,1,0,0,0,1,0,0
student21,30,0,0,1,0,0,0,0
student21,31,1,0,0,0,1,0,0
student22,1,0,1,0,0,1,0,0
student22,2,0,1,0,0,1,0,0
student22,3,1,0,0,0,1,0,0
student22,4,0,0,1,0,0,0,0
student22,5,0,1,0,0,1,0,0
student22,6,0,0,1,0,0,0,0
student22,7,0,1,0,1,0,0,0
student22,8,0,1,0,1,0,0,0
student22,9,1,0,0,0,1,0,0
student22,10,0,1,0,0,0,1,0
student22,11,0,1,0,0,0,1,0
student22,12,0,0,0,0,0,0,0
student23,1,0,0,1,0,0,0,0
student23,2,0,1,0,0,0,0,0
student23,3,1,0,0,0,1,0,0
student23,4,1,0,0,0,1,0,0
student23,5,1,0,0,0,1,0,0
student23,6,1,0,0,0,1,0,0
student23,7,1,0,0,0,1,0,0
student23,8,1,0,0,0,1,0,0
student23,9,1,0,0,0,0,1,0
student23,10,1,0,0,0,1,0,0
student23,11,1,0,0,0,1,0,0
student23,12,1,0,0,0,0,0,1
student23,13,1,0,0,0,1,0,0
student23,14,0,0,0,0,0,0,0
student23,15,1,0,0,0,1,0,0
student23,16,1,0,0,0,1,0,0
student23,17,1,0,0,0,1,0,0
student24,1,0,1,0,0,1,0,0
student24,2,1,0,0,0,1,0,0
student24,3,1,0,0,0,1,0,0
student24,4,1,0,0,0,1,0,0
student24,5,1,0,0,0,1,0,0
student24,6,1,0,0,0,1,0,0
student25,1,1,0,0,0,1,0,0
student25,2,0,0,0,0,0,0,0
student25,3,0,1,0,0,0,0,0
student25,4,1,0,0,0,1,0,0
student25,5,1,0,0,0,1,0,0
student25,6,1,0,0,0,1,0,0
student25,7,1,0,0,0,1,0,0
student25,8,1,0,0,0,1,0,0
student25,9,1,0,0,0,0,0,1
student25,10,1,0,0,0,0,1,0
student25,11,1,0,0,0,1,0,0
student25,12,0,0,1,0,0,0,1
student25,13,0,0,1,0,0,0,0
student26,1,1,0,0,0,1,0,0
student26,2,0,0,0,0,0,0,0
student26,3,0,1,0,0,0,0,0
student26,4,0,0,0,0,0,0,0
student26,5,1,0,0,0,1,0,0
student26,6,0,0,0,0,0,0,0
student26,7,1,0,0,0,1,0,0
student26,8,0,0,0,0,0,0,0
student26,9,0,1,0,0,0,1,0
student26,10,0,0,1,0,0,0,0
student26,11,1,0,0,0,1,0,0
student26,12,0,1,0,0,0,1,0
student26,13,1,0,0,0,1,0,0
student26,14,0,1,0,0,0,1,0
student26,15,1,0,0,0,1,0,0
student26,16,1,0,0,0,1,0,0
student27,1,1,0,0,0,1,0,0
student27,2,1,0,0,0,1,0,0
student27,3,0,1,0,0,1,0,0
student27,4,1,0,0,0,0,1,0
student27,5,0,0,0,0,0,0,0
student27,6,1,0,0,0,1,0,0
student27,7,1,0,0,0,1,0,0
student28,1,1,0,0,0,1,0,0
student28,2,0,0,0,0,0,0,0
student28,3,1,0,0,0,1,0,0
student28,4,0,1,0,0,0,1,0
student28,5,1,0,0,0,0,1,0
student28,6,1,0,0,0,0,0,1
student28,7,1,0,0,0,1,0,0
student28,8,0,0,0,0,0,0,0
student28,9,1,0,0,0,1,0,0
student28,10,1,0,0,0,0,1,0
student28,11,0,0,0,0,0,0,0
student28,12,1,0,0,0,0,1,0
student28,13,1,0,0,0,1,0,0
student28,14,1,0,0,0,1,0,0
student28,15,1,0,0,0,0,0,0
student28,16,1,0,0,0,1,0,0
student28,17,1,0,0,0,1,0,0
student28,18,1,0,0,0,1,0,0
student28,19,1,0,0,0,1,0,0
student28,20,1,0,0,0,0,1,0
student28,21,0,1,0,0,1,0,0
student28,22,1,0,0,0,0,0,0
student28,23,0,1,0,0,0,1,0
student28,24,1,0,0,0,1,0,0
student28,25,1,0,0,0,1,0,0
student28,26,1,0,0,0,1,0,0
student28,27,1,0,0,0,1,0,0
student29,1,0,0,1,0,0,0,0
student29,2,1,0,0,0,1,0,0
student29,3,1,0,0,0,0,1,0
student29,4,0,0,0,0,0,0,0
student29,5,1,0,0,0,1,0,0
student29,6,0,0,0,0,0,0,0
student30,1,1,0,0,0,1,0,0
student30,2,1,0,0,0,1,0,0
student30,3,0,1,0,0,1,0,0
student30,4,1,0,0,0,0,0,1
student30,5,0,1,0,0,1,0,0
student30,6,0,1,0,0,0,1,0
student30,7,0,1,0,0,1,0,0
student30,8,1,0,0,0,0,0,1
student30,9,0,1,0,0,1,0,0
student30,10,1,0,0,0,1,0,0
student30,11,1,0,0,0,1,0,0
student30,12,1,0,0,0,1,0,0
student30,13,1,0,0,0,1,0,0
student31,1,0,1,0,0,0,1,0
student31,2,1,0,0,0,1,0,0
student31,3,0,0,1,0,1,0,0
student31,4,1,0,0,0,0,1,0
student31,5,0,1,0,0,1,0,0
student31,6,0,1,0,0,1,0,0
student31,7,0,1,0,0,0,1,0
student31,8,0,0,1,0,0,0,1
student31,9,0,1,0,0,1,0,0
student31,10,0,0,1,0,1,0,0
student31,11,0,1,0,0,1,0,0
student31,12,1,0,0,0,1,0,0
student31,13,1,0,0,0,1,0,0
student31,14,0,1,0,0,0,0,0
student31,15,1,0,0,0,0,1,0
student31,16,0,1,0,0,1,0,0
student31,17,0,0,1,0,1,0,0
student31,18,0,1,0,0,1,0,0
student31,19,0,1,0,0,1,0,0
student31,20,0,0,1,0,0,0,0
student31,21,0,1,0,0,1,0,0
student31,22,1,0,0,0,1,0,0
student31,23,0,1,0,0,1,0,0
student31,24,0,1,0,0,1,0,0
student31,25,1,0,0,0,1,0,0
student31,26,0,1,0,0,1,0,0
student31,27,0,1,0,0,0,1,0
student31,28,1,0,0,0,1,0,0
student31,29,0,1,0,0,0,1,0
student31,30,1,0,0,0,1,0,0
student31,31,1,0,0,0,1,0,0
student31,32,1,0,0,0,1,0,0
student31,33,1,0,0,0,1,0,0
student32,1,1,0,0,0,1,0,0
student32,2,1,0,0,0,1,0,0
student32,3,1,0,0,0,1,0,0
student32,4,0,0,0,0,0,0,0
student32,5,1,0,0,0,1,0,0
student32,6,1,0,0,0,1,0,0
student32,7,1,0,0,0,1,0,0
student32,8,1,0,0,0,1,0,0
student32,9,1,0,0,0,1,0,0
student32,10,1,0,0,0,1,0,0
student32,11,0,0,1,0,0,0,0
student32,12,0,0,1,0,1,0,0
student32,13,0,0,0,0,0,0,0
student32,14,1,0,0,0,1,0,0
student33,1,1,0,0,0,1,0,0
student33,2,1,0,0,0,1,0,0
student33,3,1,0,0,0,1,0,0
student33,4,1,0,0,0,1,0,0
student33,5,1,0,0,0,1,0,0
student33,6,1,0,0,0,1,0,0
student33,7,0,1,0,0,1,0,0
student33,8,1,0,0,0,1,0,0
student33,9,1,0,0,0,1,0,0
student33,10,1,0,0,0,1,0,0
student34,1,1,0,0,0,1,0,0
student34,2,0,0,1,0,0,0,1
student34,3,0,1,0,0,0,1,0
student34,4,1,0,0,0,0,1,0
student34,5,0,1,0,0,0,1,0
student34,6,0,1,0,0,1,0,0
student34,7,0,1,0,0,0,1,0
student35,1,1,0,0,0,1,0,0
student35,2,1,0,0,0,1,0,0
student35,3,1,0,0,1,0,0,0
student35,4,1,0,0,0,1,0,0
student35,5,1,0,0,0,1,0,0
student35,6,1,0,0,0,1,0,0
student35,7,0,1,0,0,1,0,0
student35,8,1,0,0,0,1,0,0
student35,9,1,0,0,0,1,0,0
student35,10,1,0,0,0,1,0,0
student35,11,1,0,0,0,1,0,0
student35,12,1,0,0,0,1,0,0
student35,13,1,0,0,0,1,0,0
student36,1,1,0,0,0,1,0,0
student36,2,0,1,0,0,1,0,0
student36,3,1,0,0,0,1,0,0
student36,4,1,0,0,0,1,0,0
student36,5,1,0,0,0,1,0,0
student36,6,1,0,0,0,1,0,0
student36,7,1,0,0,0,1,0,0
